Date,Bill Number,Item Description,Time,Quantity,Rate,Tax,Discount,Total,Category
2023-01-01,B1073,Coffee,19:42:42,3,2.5,0.6,0.0,8.1,Beverage
2023-01-01,B1074,Sandwich,22:08:07,1,3.5,0.28,0.35,3.43,Food
2023-01-01,B1075,Coffee,22:10:28,1,4.5,0.36,0.22,4.64,Beverage
2023-01-01,B1076,Pastry,15:36:58,1,4.5,0.36,0.0,4.86,Food
2023-01-01,B1077,Coffee,20:51:27,2,4.5,0.72,0.9,8.82,Beverage
2023-01-01,B1078,Pastry,09:52:22,1,4.0,0.32,0.4,3.92,Food
2023-01-01,B1079,Salad,02:27:43,1,6.0,0.48,0.0,6.48,Food
2023-01-01,B1080,Pastry,08:49:58,2,8.0,1.28,0.8,16.48,Food
2023-01-01,B1081,Tea,14:13:48,3,7.0,1.68,1.05,21.63,Beverage
2023-01-01,B1082,Tea,18:59:23,3,5.0,1.2,1.5,14.7,Beverage
2023-01-01,B1083,Tea,01:27:11,3,3.0,0.72,0.45,9.27,Beverage
2023-01-01,B1084,Coffee,04:27:16,1,8.0,0.64,0.8,7.84,Beverage
2023-01-01,B1085,Salad,02:26:02,2,6.0,0.96,0.6,12.36,Food
2023-01-01,B1086,Pastry,10:22:54,2,8.0,1.28,0.0,17.28,Food
2023-01-01,B1087,Sandwich,22:51:41,2,6.0,0.96,0.0,12.96,Food
2023-01-01,B1088,Sandwich,18:21:31,1,4.0,0.32,0.0,4.32,Food
2023-01-01,B1089,Sandwich,09:57:21,3,6.0,1.44,1.8,17.64,Food
2023-01-01,B1090,Sandwich,21:31:36,2,3.0,0.48,0.6,5.88,Food
2023-01-01,B1091,Pastry,20:25:52,1,5.0,0.4,0.25,5.15,Food
2023-01-01,B1092,Tea,04:39:23,2,2.5,0.4,0.25,5.15,Beverage
2023-01-01,B1093,Pastry,13:50:37,1,2.5,0.2,0.0,2.7,Food
2023-01-01,B1094,Sandwich,04:09:37,1,6.0,0.48,0.3,6.18,Food
2023-01-01,B1095,Salad,07:18:06,2,3.5,0.56,0.7,6.86,Food
2023-01-01,B1096,Sandwich,18:12:15,1,3.0,0.24,0.15,3.09,Food
2023-01-01,B1097,Pastry,04:27:36,1,7.0,0.56,0.7,6.86,Food
2023-01-01,B1098,Pastry,22:00:22,2,6.0,0.96,0.6,12.36,Food
2023-01-01,B1099,Salad,18:05:37,2,4.5,0.72,0.45,9.27,Food
2023-01-01,B1100,Coffee,15:04:12,1,2.5,0.2,0.12,2.58,Beverage
2023-01-01,B1101,Tea,18:27:38,1,3.0,0.24,0.15,3.09,Beverage
2023-01-01,B1102,Coffee,13:40:01,1,4.5,0.36,0.0,4.86,Beverage
2023-01-01,B1103,Salad,03:27:11,3,4.5,1.08,0.68,13.9,Food
2023-01-01,B1104,Salad,02:56:09,3,3.5,0.84,0.52,10.82,Food
2023-01-01,B1105,Pastry,17:14:10,1,5.0,0.4,0.0,5.4,Food
2023-01-01,B1106,Salad,17:09:54,2,4.5,0.72,0.9,8.82,Food
2023-01-01,B1107,Coffee,12:26:53,2,4.0,0.64,0.0,8.64,Beverage
2023-01-01,B1108,Sandwich,07:37:03,2,4.5,0.72,0.9,8.82,Food
2023-01-01,B1109,Sandwich,12:32:40,1,4.5,0.36,0.45,4.41,Food
2023-01-01,B1110,Tea,19:48:39,2,5.0,0.8,0.0,10.8,Beverage
2023-01-01,B1111,Sandwich,06:46:34,2,4.0,0.64,0.8,7.84,Food
2023-01-01,B1112,Tea,10:15:15,2,3.5,0.56,0.35,7.21,Beverage
2023-01-01,B1113,Coffee,22:00:17,1,4.0,0.32,0.4,3.92,Beverage
2023-01-01,B1114,Tea,06:07:41,1,4.0,0.32,0.2,4.12,Beverage
2023-01-01,B1115,Pastry,22:56:45,1,2.5,0.2,0.0,2.7,Food
2023-01-01,B1116,Pastry,22:44:25,3,4.5,1.08,1.35,13.23,Food
2023-01-01,B1117,Coffee,04:54:55,1,7.0,0.56,0.35,7.21,Beverage
2023-01-01,B1118,Pastry,23:46:54,1,3.0,0.24,0.0,3.24,Food
2023-01-01,B1119,Pastry,14:41:36,2,3.5,0.56,0.7,6.86,Food
2023-01-01,B1120,Coffee,06:58:44,2,7.0,1.12,0.0,15.12,Beverage
2023-01-01,B1121,Tea,03:25:11,2,3.0,0.48,0.6,5.88,Beverage
2023-01-01,B1122,Coffee,05:07:41,3,4.0,0.96,0.6,12.36,Beverage
2023-01-01,B1123,Salad,12:18:11,2,7.0,1.12,0.0,15.12,Food
2023-01-01,B1124,Salad,13:16:12,1,8.0,0.64,0.4,8.24,Food
2023-01-01,B1125,Salad,15:12:10,1,7.0,0.56,0.7,6.86,Food
2023-01-01,B1126,Coffee,02:16:31,3,4.0,0.96,0.6,12.36,Beverage
2023-01-01,B1127,Coffee,05:13:48,3,7.0,1.68,2.1,20.58,Beverage
2023-01-01,B1128,Salad,07:18:43,1,6.0,0.48,0.0,6.48,Food
2023-01-01,B1129,Coffee,09:24:15,3,8.0,1.92,1.2,24.72,Beverage
2023-01-01,B1130,Coffee,19:18:10,1,4.0,0.32,0.0,4.32,Beverage
2023-01-02,B1131,Salad,22:16:24,3,3.5,0.84,0.0,11.34,Food
2023-01-02,B1132,Sandwich,20:47:38,1,8.0,0.64,0.8,7.84,Food
2023-01-02,B1133,Sandwich,07:39:37,1,6.0,0.48,0.3,6.18,Food
2023-01-02,B1134,Sandwich,20:46:22,3,4.5,1.08,0.0,14.58,Food
2023-01-02,B1135,Pastry,00:21:48,1,4.0,0.32,0.4,3.92,Food
2023-01-02,B1136,Salad,17:12:13,1,6.0,0.48,0.0,6.48,Food
2023-01-02,B1137,Salad,15:05:52,1,6.0,0.48,0.3,6.18,Food
2023-01-02,B1138,Tea,08:38:07,1,3.5,0.28,0.35,3.43,Beverage
2023-01-02,B1139,Salad,01:18:55,3,3.0,0.72,0.9,8.82,Food
2023-01-02,B1140,Sandwich,06:00:34,1,2.5,0.2,0.0,2.7,Food
2023-01-02,B1141,Salad,11:57:05,2,8.0,1.28,0.8,16.48,Food
2023-01-02,B1142,Pastry,22:20:39,2,3.0,0.48,0.0,6.48,Food
2023-01-02,B1143,Salad,11:50:19,1,5.0,0.4,0.5,4.9,Food
2023-01-02,B1144,Salad,15:12:00,1,5.0,0.4,0.0,5.4,Food
2023-01-02,B1145,Coffee,00:34:43,1,4.0,0.32,0.2,4.12,Beverage
2023-01-02,B1146,Sandwich,15:44:21,3,3.5,0.84,0.0,11.34,Food
2023-01-02,B1147,Sandwich,08:45:35,2,6.0,0.96,1.2,11.76,Food
2023-01-02,B1148,Tea,15:48:14,2,3.5,0.56,0.7,6.86,Beverage
2023-01-02,B1149,Pastry,15:22:21,1,3.0,0.24,0.15,3.09,Food
2023-01-02,B1150,Tea,16:51:32,1,8.0,0.64,0.8,7.84,Beverage
2023-01-02,B1151,Coffee,01:11:20,3,8.0,1.92,2.4,23.52,Beverage
2023-01-02,B1152,Sandwich,08:47:37,1,8.0,0.64,0.0,8.64,Food
2023-01-02,B1153,Salad,15:48:15,2,4.5,0.72,0.45,9.27,Food
2023-01-02,B1154,Salad,01:44:45,3,4.5,1.08,1.35,13.23,Food
2023-01-02,B1155,Pastry,18:50:27,1,3.0,0.24,0.3,2.94,Food
2023-01-02,B1156,Coffee,18:26:07,1,2.5,0.2,0.0,2.7,Beverage
2023-01-02,B1157,Pastry,22:03:00,3,8.0,1.92,2.4,23.52,Food
2023-01-02,B1158,Sandwich,21:14:19,2,7.0,1.12,0.7,14.42,Food
2023-01-02,B1159,Sandwich,21:51:10,1,7.0,0.56,0.35,7.21,Food
2023-01-02,B1160,Sandwich,11:21:28,2,7.0,1.12,0.7,14.42,Food
2023-01-02,B1161,Sandwich,01:46:07,2,4.5,0.72,0.0,9.72,Food
2023-01-02,B1162,Sandwich,20:31:24,3,5.0,1.2,1.5,14.7,Food
2023-01-02,B1163,Coffee,17:32:20,1,2.5,0.2,0.0,2.7,Beverage
2023-01-02,B1164,Sandwich,00:12:01,1,3.5,0.28,0.0,3.78,Food
2023-01-02,B1165,Tea,10:59:02,3,4.5,1.08,1.35,13.23,Beverage
2023-01-02,B1166,Coffee,02:10:18,2,7.0,1.12,0.7,14.42,Beverage
2023-01-02,B1167,Tea,23:04:46,3,4.5,1.08,1.35,13.23,Beverage
2023-01-02,B1168,Coffee,22:49:46,2,2.5,0.4,0.25,5.15,Beverage
2023-01-02,B1169,Coffee,19:55:43,3,4.5,1.08,0.68,13.9,Beverage
2023-01-02,B1170,Coffee,06:49:10,2,2.5,0.4,0.0,5.4,Beverage
2023-01-02,B1171,Coffee,18:08:36,2,8.0,1.28,1.6,15.68,Beverage
2023-01-02,B1172,Coffee,04:04:55,1,6.0,0.48,0.3,6.18,Beverage
2023-01-02,B1173,Sandwich,01:56:12,1,4.5,0.36,0.45,4.41,Food
2023-01-02,B1174,Salad,00:22:10,2,3.5,0.56,0.0,7.56,Food
2023-01-02,B1175,Salad,02:45:28,1,4.5,0.36,0.22,4.64,Food
2023-01-02,B1176,Tea,08:48:45,3,2.5,0.6,0.0,8.1,Beverage
2023-01-02,B1177,Coffee,12:50:46,2,2.5,0.4,0.5,4.9,Beverage
2023-01-02,B1178,Salad,02:54:04,1,4.0,0.32,0.2,4.12,Food
2023-01-02,B1179,Coffee,10:33:10,1,7.0,0.56,0.35,7.21,Beverage
2023-01-02,B1180,Sandwich,06:11:49,3,7.0,1.68,2.1,20.58,Food
2023-01-02,B1181,Tea,06:32:31,2,3.0,0.48,0.3,6.18,Beverage
2023-01-02,B1182,Pastry,16:41:24,3,3.0,0.72,0.0,9.72,Food
2023-01-02,B1183,Sandwich,09:36:47,1,8.0,0.64,0.0,8.64,Food
2023-01-02,B1184,Salad,15:18:43,1,3.0,0.24,0.3,2.94,Food
2023-01-02,B1185,Pastry,13:04:43,3,5.0,1.2,0.75,15.45,Food
2023-01-02,B1186,Tea,20:18:18,2,3.0,0.48,0.3,6.18,Beverage
2023-01-02,B1187,Pastry,05:13:32,3,3.0,0.72,0.0,9.72,Food
2023-01-02,B1188,Coffee,12:46:49,3,6.0,1.44,0.9,18.54,Beverage
2023-01-02,B1189,Pastry,05:33:45,1,4.5,0.36,0.0,4.86,Food
2023-01-02,B1190,Sandwich,02:10:18,2,7.0,1.12,0.0,15.12,Food
2023-01-02,B1191,Tea,16:02:31,1,4.0,0.32,0.0,4.32,Beverage
2023-01-02,B1192,Tea,00:14:32,2,4.5,0.72,0.45,9.27,Beverage
2023-01-02,B1193,Salad,19:39:43,2,3.5,0.56,0.7,6.86,Food
2023-01-02,B1194,Coffee,11:54:21,3,6.0,1.44,1.8,17.64,Beverage
2023-01-02,B1195,Pastry,08:19:28,2,7.0,1.12,0.0,15.12,Food
2023-01-02,B1196,Pastry,21:01:49,3,3.0,0.72,0.0,9.72,Food
2023-01-02,B1197,Tea,14:33:21,3,3.5,0.84,0.0,11.34,Beverage
2023-01-02,B1198,Salad,10:47:41,2,5.0,0.8,0.0,10.8,Food
2023-01-02,B1199,Coffee,21:52:19,1,8.0,0.64,0.4,8.24,Beverage
2023-01-02,B1200,Tea,08:30:21,1,8.0,0.64,0.4,8.24,Beverage
2023-01-02,B1201,Coffee,19:32:45,3,8.0,1.92,1.2,24.72,Beverage
2023-01-03,B1202,Pastry,04:26:07,3,2.5,0.6,0.38,7.72,Food
2023-01-03,B1203,Sandwich,07:05:58,1,7.0,0.56,0.0,7.56,Food
2023-01-03,B1204,Pastry,03:53:19,1,4.0,0.32,0.4,3.92,Food
2023-01-03,B1205,Tea,03:44:33,3,7.0,1.68,1.05,21.63,Beverage
2023-01-03,B1206,Salad,01:16:34,2,7.0,1.12,1.4,13.72,Food
2023-01-03,B1207,Pastry,08:13:43,3,6.0,1.44,0.9,18.54,Food
2023-01-03,B1208,Pastry,03:22:25,3,3.0,0.72,0.45,9.27,Food
2023-01-03,B1209,Pastry,08:06:26,3,8.0,1.92,2.4,23.52,Food
2023-01-03,B1210,Salad,15:58:03,2,6.0,0.96,0.0,12.96,Food
2023-01-03,B1211,Coffee,03:44:37,3,5.0,1.2,0.75,15.45,Beverage
2023-01-03,B1212,Sandwich,23:52:24,1,2.5,0.2,0.0,2.7,Food
2023-01-03,B1213,Sandwich,00:27:55,1,4.0,0.32,0.2,4.12,Food
2023-01-03,B1214,Pastry,03:00:23,1,3.0,0.24,0.3,2.94,Food
2023-01-03,B1215,Sandwich,03:05:54,3,5.0,1.2,0.75,15.45,Food
2023-01-03,B1216,Coffee,04:12:31,3,8.0,1.92,0.0,25.92,Beverage
2023-01-03,B1217,Sandwich,06:19:59,2,3.0,0.48,0.6,5.88,Food
2023-01-03,B1218,Pastry,21:36:56,1,5.0,0.4,0.0,5.4,Food
2023-01-03,B1219,Coffee,17:08:40,1,4.5,0.36,0.22,4.64,Beverage
2023-01-03,B1220,Salad,09:24:30,2,5.0,0.8,1.0,9.8,Food
2023-01-03,B1221,Sandwich,07:48:47,2,7.0,1.12,1.4,13.72,Food
2023-01-03,B1222,Coffee,02:53:16,3,3.5,0.84,1.05,10.29,Beverage
2023-01-03,B1223,Salad,05:50:22,3,5.0,1.2,0.75,15.45,Food
2023-01-03,B1224,Sandwich,13:28:53,3,4.0,0.96,1.2,11.76,Food
2023-01-03,B1225,Coffee,12:26:07,2,7.0,1.12,0.7,14.42,Beverage
2023-01-03,B1226,Pastry,23:48:57,2,8.0,1.28,0.8,16.48,Food
2023-01-03,B1227,Pastry,11:08:22,2,3.5,0.56,0.0,7.56,Food
2023-01-03,B1228,Sandwich,12:53:13,1,5.0,0.4,0.25,5.15,Food
2023-01-03,B1229,Sandwich,15:22:47,3,4.0,0.96,0.0,12.96,Food
2023-01-03,B1230,Sandwich,11:49:50,1,2.5,0.2,0.12,2.58,Food
2023-01-03,B1231,Salad,11:09:38,2,4.0,0.64,0.0,8.64,Food
2023-01-03,B1232,Pastry,06:56:02,3,2.5,0.6,0.38,7.72,Food
2023-01-03,B1233,Tea,23:10:36,2,4.5,0.72,0.9,8.82,Beverage
2023-01-03,B1234,Tea,22:39:52,2,7.0,1.12,0.7,14.42,Beverage
2023-01-03,B1235,Sandwich,10:53:12,1,4.5,0.36,0.0,4.86,Food
2023-01-03,B1236,Coffee,21:34:10,1,7.0,0.56,0.35,7.21,Beverage
2023-01-03,B1237,Pastry,01:32:46,2,2.5,0.4,0.0,5.4,Food
2023-01-03,B1238,Sandwich,14:33:09,2,4.5,0.72,0.9,8.82,Food
2023-01-03,B1239,Coffee,17:47:52,2,3.5,0.56,0.7,6.86,Beverage
2023-01-03,B1240,Coffee,02:16:38,2,7.0,1.12,1.4,13.72,Beverage
2023-01-03,B1241,Coffee,01:55:52,1,3.5,0.28,0.0,3.78,Beverage
2023-01-03,B1242,Salad,15:02:09,1,3.5,0.28,0.35,3.43,Food
2023-01-03,B1243,Tea,12:56:56,2,4.0,0.64,0.0,8.64,Beverage
2023-01-03,B1244,Salad,09:22:03,2,8.0,1.28,0.8,16.48,Food
2023-01-03,B1245,Pastry,23:14:28,1,5.0,0.4,0.0,5.4,Food
2023-01-03,B1246,Coffee,09:03:56,1,2.5,0.2,0.0,2.7,Beverage
2023-01-03,B1247,Tea,11:16:53,2,4.5,0.72,0.9,8.82,Beverage
2023-01-03,B1248,Pastry,03:43:43,2,5.0,0.8,1.0,9.8,Food
2023-01-03,B1249,Pastry,18:05:17,2,4.0,0.64,0.8,7.84,Food
2023-01-03,B1250,Salad,10:24:39,1,4.0,0.32,0.2,4.12,Food
2023-01-03,B1251,Pastry,12:52:00,1,5.0,0.4,0.0,5.4,Food
2023-01-03,B1252,Coffee,09:41:21,1,4.5,0.36,0.45,4.41,Beverage
2023-01-03,B1253,Coffee,17:11:17,2,4.0,0.64,0.4,8.24,Beverage
2023-01-03,B1254,Tea,16:25:07,2,4.5,0.72,0.9,8.82,Beverage
2023-01-03,B1255,Tea,01:53:29,1,5.0,0.4,0.25,5.15,Beverage
2023-01-03,B1256,Salad,18:44:36,3,4.0,0.96,0.0,12.96,Food
2023-01-03,B1257,Sandwich,19:06:42,3,7.0,1.68,0.0,22.68,Food
2023-01-03,B1258,Salad,07:34:10,3,4.0,0.96,0.0,12.96,Food
2023-01-03,B1259,Tea,11:56:41,3,3.5,0.84,1.05,10.29,Beverage
2023-01-03,B1260,Sandwich,10:44:28,2,4.5,0.72,0.9,8.82,Food
2023-01-03,B1261,Tea,14:21:32,2,5.0,0.8,1.0,9.8,Beverage
2023-01-03,B1262,Tea,15:08:24,2,7.0,1.12,0.7,14.42,Beverage
2023-01-03,B1263,Tea,09:38:44,1,2.5,0.2,0.25,2.45,Beverage
2023-01-03,B1264,Sandwich,03:59:43,3,4.0,0.96,0.0,12.96,Food
2023-01-03,B1265,Salad,05:58:00,3,2.5,0.6,0.75,7.35,Food
2023-01-03,B1266,Tea,11:25:03,1,5.0,0.4,0.5,4.9,Beverage
2023-01-03,B1267,Salad,22:52:08,2,7.0,1.12,0.0,15.12,Food
2023-01-03,B1268,Pastry,08:30:37,3,2.5,0.6,0.38,7.72,Food
2023-01-03,B1269,Salad,08:25:56,1,4.0,0.32,0.2,4.12,Food
2023-01-03,B1270,Coffee,02:18:21,1,5.0,0.4,0.5,4.9,Beverage
2023-01-03,B1271,Pastry,21:24:03,3,4.5,1.08,1.35,13.23,Food
2023-01-03,B1272,Coffee,06:03:06,1,8.0,0.64,0.4,8.24,Beverage
2023-01-03,B1273,Sandwich,00:23:34,1,4.5,0.36,0.22,4.64,Food
2023-01-03,B1274,Coffee,21:18:34,3,4.0,0.96,0.0,12.96,Beverage
2023-01-03,B1275,Tea,09:29:38,3,5.0,1.2,0.75,15.45,Beverage
2023-01-03,B1276,Tea,03:05:09,3,3.0,0.72,0.9,8.82,Beverage
2023-01-03,B1277,Coffee,16:38:47,3,3.5,0.84,0.52,10.82,Beverage
2023-01-03,B1278,Coffee,02:37:16,3,4.0,0.96,0.6,12.36,Beverage
2023-01-03,B1279,Salad,03:31:32,1,2.5,0.2,0.0,2.7,Food
2023-01-03,B1280,Pastry,08:14:35,2,3.0,0.48,0.0,6.48,Food
2023-01-03,B1281,Coffee,23:09:51,3,2.5,0.6,0.0,8.1,Beverage
2023-01-03,B1282,Coffee,03:52:02,2,5.0,0.8,1.0,9.8,Beverage
2023-01-03,B1283,Salad,10:47:08,1,6.0,0.48,0.0,6.48,Food
2023-01-03,B1284,Salad,23:57:26,2,6.0,0.96,1.2,11.76,Food
2023-01-03,B1285,Pastry,07:36:32,3,2.5,0.6,0.0,8.1,Food
2023-01-03,B1286,Salad,19:06:06,2,7.0,1.12,1.4,13.72,Food
2023-01-03,B1287,Tea,04:47:52,1,3.5,0.28,0.35,3.43,Beverage
2023-01-03,B1288,Tea,23:12:59,2,5.0,0.8,0.0,10.8,Beverage
2023-01-03,B1289,Tea,00:18:12,2,5.0,0.8,1.0,9.8,Beverage
2023-01-03,B1290,Sandwich,15:08:35,1,7.0,0.56,0.0,7.56,Food
2023-01-03,B1291,Pastry,12:53:07,2,3.5,0.56,0.35,7.21,Food
2023-01-03,B1292,Tea,23:43:05,1,6.0,0.48,0.6,5.88,Beverage
2023-01-03,B1293,Sandwich,14:15:37,2,6.0,0.96,0.0,12.96,Food
2023-01-03,B1294,Coffee,16:16:29,1,6.0,0.48,0.6,5.88,Beverage
2023-01-03,B1295,Pastry,18:34:58,3,7.0,1.68,1.05,21.63,Food
2023-01-03,B1296,Coffee,07:39:06,3,4.5,1.08,1.35,13.23,Beverage
2023-01-03,B1297,Pastry,03:54:21,1,7.0,0.56,0.35,7.21,Food
2023-01-04,B1298,Pastry,03:59:13,1,5.0,0.4,0.0,5.4,Food
2023-01-04,B1299,Tea,06:49:40,3,6.0,1.44,0.0,19.44,Beverage
2023-01-04,B1300,Salad,18:13:39,3,3.5,0.84,0.0,11.34,Food
2023-01-04,B1301,Sandwich,23:45:26,2,3.0,0.48,0.0,6.48,Food
2023-01-04,B1302,Salad,13:51:29,3,3.0,0.72,0.9,8.82,Food
2023-01-04,B1303,Sandwich,06:03:12,1,4.5,0.36,0.22,4.64,Food
2023-01-04,B1304,Coffee,20:44:57,2,4.5,0.72,0.9,8.82,Beverage
2023-01-04,B1305,Sandwich,08:41:44,2,5.0,0.8,0.0,10.8,Food
2023-01-04,B1306,Tea,05:55:01,2,7.0,1.12,1.4,13.72,Beverage
2023-01-04,B1307,Coffee,13:54:18,2,3.5,0.56,0.0,7.56,Beverage
2023-01-04,B1308,Coffee,05:01:14,2,8.0,1.28,1.6,15.68,Beverage
2023-01-04,B1309,Coffee,09:46:23,2,5.0,0.8,1.0,9.8,Beverage
2023-01-04,B1310,Sandwich,00:46:14,2,3.0,0.48,0.6,5.88,Food
2023-01-04,B1311,Salad,20:56:40,3,5.0,1.2,0.75,15.45,Food
2023-01-04,B1312,Salad,17:23:46,2,4.0,0.64,0.0,8.64,Food
2023-01-04,B1313,Tea,03:31:12,1,4.5,0.36,0.0,4.86,Beverage
2023-01-04,B1314,Tea,00:15:26,3,4.5,1.08,0.68,13.9,Beverage
2023-01-04,B1315,Salad,14:25:28,3,8.0,1.92,2.4,23.52,Food
2023-01-04,B1316,Pastry,07:35:53,2,8.0,1.28,0.0,17.28,Food
2023-01-04,B1317,Tea,00:15:48,1,2.5,0.2,0.12,2.58,Beverage
2023-01-04,B1318,Salad,06:00:34,2,3.0,0.48,0.3,6.18,Food
